question,distances,mean_distance,relevance_score
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",197.462;169.599;178.532;179.427,181.25,0.71
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",133.754;154.543;159.832;167.281;175.204,158.12,0.76
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",164.987;173.727;173.837;179.405,172.99,0.73
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",136.889;151.328;156.691;164.369,152.32,0.77
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",152.44;167.459;169.937;181.981,167.95,0.74
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",107.068;150.707;156.454,138.08,0.80
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",91.502;131.259;134.054;140.404,124.30,0.83
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",131.191;146.343;153.943,143.83,0.79
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",97.314;143.985;150.702,130.67,0.82
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",173.223;188.542;192.806;200.19,188.69,0.69
"What are the key capabilities and features of the G-protein activity biosensors?",154.784;150.07;143.014;143.051;145.848,147.35,0.78
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",133.694;140.836;152.292,142.27,0.79
"How does the expression level of the biosensors impact normal G-protein signaling? ",147.379;155.067;157.336;162.007;170.937,158.55,0.76
"Does levels of biosensor expression interfere with downstream signaling pathways?",182.292;202.063;211.878;222.855,204.77,0.66
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",137.107;143.619;150.438;171.456,150.66,0.78
"What is the CRISPR-coupled GPCR ChaCha system? ",142.259;144.924;149.083;161.787,149.51,0.78
"What ligands can activate the CRISPR ChaCha systems?",137.052;148.122;163.419,149.53,0.78
"What advantages does the ChaCha system offer over the Tango architecture? ",319.969;321.355;322.412;337.535;360.912,332.44,0.37
"What are the limitations of the CRISPR ChaCha system? ",210.932;213.723;223.906,216.19,0.63
"Which other systems can CRISPR ChaCha be applied to?",190.322;195.91;204.263,196.83,0.67
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",150.211;151.439;155.413;162.593,154.91,0.77
"List all the FGFR mutations that were used in the experiments.",201.861;205.089;218.801,208.58,0.65
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",177.535;183.573;190.577,183.89,0.70
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",159.461;168.787;171.391;175.43,168.77,0.74
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",132.552;132.917;134.634;137.694;143.247,136.21,0.81
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",177.949;178.404;178.744;185.337,180.11,0.71
"What things can affect the interaction between FGFR2 and SHP2?",132.343;142.275;143.835;166.91,146.34,0.79
"How can be the FGFR2-SHP2 interaction affected?",134.568;128.173;137.372;157.978,139.52,0.80
"What is the difference between a canonical and non-canonical SH2 domain interaction?",256.013;262.307;283.908,267.41,0.52
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",114.082;128.177;130.049;169.577,135.47,0.81
"Does regulatory domain inhibit PAK4?",157.126;168.77;184.496,170.13,0.73
"What are the Kd values for peptide binding of PAK4? ",204.811;207.909;212.883,208.53,0.65
"List me the construct boundaries of PAK4 in the experiments.",230.624;238.392;244.964,237.99,0.58
"List me the PAK4 construct boundaries in the experiments.",233.797;239.84;243.922;254.944,243.13,0.57
"What is known about the inhibition and activation of PAK4?",148.566;157.941;158.433;163.388,157.08,0.76
"What is known about PAK4 structure?",230.066;240.917;246.958,239.31,0.58
"Is there any interaction between PAKs and FGFRs?",254.082;287.662;292.821,278.19,0.49
"What is the main substrate of MNK1 kinase?",286.089;286.936;287.586;288.726;291.366,288.14,0.47
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",215.449;227.288;235.875,226.20,0.61
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",230.344;236.782;268.622,245.25,0.57
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",101.072;104.563;108.138;127.968,110.44,0.87
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",164.365;165.444;183.394;203.555,179.19,0.71
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",163.99;165.861;187.251,172.37,0.73
"Tabulate the different ligand types in kinase  and their associated details.",194.668;176.171;193.246,188.03,0.69
"Provide the number of unique ligands in each combination of conformation and ligand type.",211.087;224.212;225.558;230.249,222.78,0.62
"What does MMS stand for?",371.708;399.204;421.512,397.47,0.23
"How does the benzylamine group impact target selectivity?",233.513;248.809;254.134;262.583,249.76,0.56
"What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?",90.888;140.94;157.952,129.93,0.82
"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",191.317;192.436;195.694,193.15,0.68
"How many sites of the  human Ser/Thr phosphoproteome were annotated?",172.535;126.962;180.71,160.07,0.76
"Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.",220.826;225.838;233.599,226.75,0.61
"How was machine learning used in the current study?",273.485;283.549;288.273,281.77,0.48
"Define the different kinase conformations?",166.336;180.792;181.465;185.876,178.62,0.71
"What are the steps in the Foldseek method?",257.171;268.353;277.23;299.42,275.54,0.50
"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",197.225;197.962;204.777,199.99,0.67
"What is the novelty of this paper - "NMR 2020 Science Babis- Conformational states dynamically populated by a kinase determine its function"?",142.493;153.416;160.83;177.65,158.60,0.76
"Describe the NMR method used to identify the p38 kinase conformation.",199.607;210.728;211.942;224.116,211.60,0.64
"What algorithmic bottleneck do GAT networks address? ",265.675;280.265;287.103,277.68,0.49
"Explain the difference between transductive and inductive tasks in the context of graph neural networks.",227.034;231.367;232.475;237.572;243.554,234.40,0.59
"How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.",176.179;176.717;189.791,180.90,0.71
"What is the EFFECT benchmark suite?",286.269;290.374;320.412,299.02,0.45
"How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?",166.917;194.699;200.174;210.474,193.07,0.68
"What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?",205.657;194.12;201.35,200.38,0.67
"Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?",220.881;227.153;228.509,225.51,0.61
"What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?",158.944;164.999;181.845,168.60,0.74
"Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.",150.655;151.261;156.393,152.77,0.77
"What are the main advantages of SSS compared to transformer based architectures?",286.988;294.6;305.223;318.884,301.42,0.44
"What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?",209.199;213.134;217.917,213.42,0.64
"Explain how celligner results allow to analyze cancer sub-type organisation. ",178.178;185.116;187.405,183.57,0.70
"Does Celligner perform equally well on all cancer types?",171.206;200.57;205.81;212.304;231.0,204.18,0.66
"What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?",297.03;303.715;314.796,305.18,0.43
"How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?",172.925;232.924;236.082;240.688;260.01,228.53,0.60
"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",114.483;116.504;132.481,121.16,0.84
"What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?",178.064;189.517;197.313,188.30,0.69
"How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?",174.719;171.987;172.373;174.719,173.45,0.73
"How much does it cost to treat cancer with CARs? Are there any cars designed in india?",184.193;196.43;200.253;235.385,204.07,0.66
"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",165.861;171.179;174.199,170.41,0.73
"What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?",205.95;205.95;210.62,207.51,0.65
"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",160.152;168.904;168.904;183.487,170.36,0.73
"Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?",252.182;253.031;253.103;254.823,253.28,0.55
"Define a Chimeric antigen receptor (CAR)",147.335;147.335;168.053,154.24,0.77
"List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells",136.805;163.363;163.363;163.744,156.82,0.76
"What are the most promising CAR-T designs that go beyond monospecific constructs?",226.001;226.001;234.324;234.324,230.16,0.60
"What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ",192.962;195.991;195.991;199.092,196.01,0.68
"What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ",240.473;259.562;266.028;277.289,260.84,0.53
"How does the composition of the hinge region affect the efficiency of signal transduction in CARs.",160.234;174.886;199.984,178.37,0.71
"How does the composition of the hinge region affect the efficiency target cell killing in CARs.",145.753;168.163;184.565,166.16,0.74
"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",163.752;171.702;176.233,170.56,0.73
"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",223.846;225.707;239.677,229.74,0.60
"Which promoters have been used to drive CAR expression? Create an exhaustive list. ",285.157;289.062;289.353;292.613,289.05,0.47
"List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ",205.061;212.033;213.025;214.767;217.138;217.138,213.19,0.64
"Why are loop-CARs a superior design over tandem CARs?",305.853;305.853;308.425;312.892;312.892,309.18,0.42
"How do you match CAR expression level to antigen density?",196.811;206.254;220.327,207.80,0.65
"List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.",247.953;262.016;263.021;266.906,259.97,0.53
"How will single-cell RNA sequencing and related technologies affect the design of new CARs?",212.306;214.462;214.462;218.846,215.02,0.63
"What are the differences between B-cells and T-cells in terms of cell surface receptors?",233.629;250.813;261.62,248.69,0.56
"What cancer type is the CAR-T targeting? ",168.139;174.81;175.92;181.473,175.09,0.72
"What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",174.876;182.976;184.439;186.21,182.13,0.71
"What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",133.651;135.767;137.01;137.01,135.86,0.81
"How many transgenes could be incorporated in T-cells?",215.079;216.617;219.191,216.96,0.63
"What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",148.34;149.2;150.51,149.35,0.78
"Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",117.873;136.571;143.809,132.75,0.82
"What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",116.29;121.133;123.905,120.44,0.84
"What was the optimal concentration of the small molecule in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",143.296;148.596;151.178;154.8;160.559;170.924,154.89,0.77
"What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?",132.727;147.437;150.243;155.332,146.43,0.79
"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether it's antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",165.695;148.705;151.433,155.28,0.77
"In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?",123.692;127.116;136.957,129.25,0.82
"What are some of the challenges in developing CAR T cells for treating solid tumors?",109.667;109.667;111.801;117.598,112.18,0.86
"How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ",145.391;150.953;157.045,151.13,0.78
"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",197.351;197.6;212.936,202.63,0.66
"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",99.08;119.618;122.326;140.896,120.48,0.84
"What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?",192.517;219.244;219.489;221.041;221.041,214.67,0.63
"How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?",107.119;115.881;117.19;120.872;132.5,118.71,0.85
"what are the key findings regarding its efficacy in mouse models of cancer? ",192.961;191.204;191.986;194.255;197.243,193.53,0.68
"What challenges do current CAR T cell therapies face regarding antigen dependence? ",118.359;146.176;149.451,138.00,0.80
"What advantages does the ProCAR system offer over other strategies for targeting solid tumors?",211.201;211.253;215.136,212.53,0.64
" how does ProCAR utilize bacteria to enhance tumor-specific target delivery?",159.02;163.583;177.052,166.55,0.74
"What is a KID domain?",361.382;369.951;384.618;428.708,386.16,0.25
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",155.238;149.15;151.796;153.507,152.42,0.77
"Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?",129.499;224.93;225.65;226.89;233.194,208.03,0.65
"How long is the peptide required to bind to eIF4E?",208.739;219.056;224.844;261.503,228.54,0.60
"What does the structure-function paradigm state and why does it need to be re-assessed?",246.066;266.145;275.762;291.064,269.76,0.51
"What is the function of the disordered regions of myoglobin?",216.516;217.563;219.822;227.052;236.928,223.58,0.61
"Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ",198.96;203.386;205.675,202.67,0.66
"What is a molten globue?",288.099;295.062;344.901,309.35,0.42
"List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.",174.367;184.781;190.803;199.946,187.47,0.69
"Is the NCBD domain of CBP folded or disordered?",146.672;191.292;193.587;201.455,183.25,0.70
"Where are the leukaemia-related breakpoints located in CBP/p300?",249.21;249.464;257.613,252.10,0.55
"What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?",144.225;158.113;158.362,153.57,0.77
"What is the role of the disordered protein HMGA1?",273.339;275.609;276.553;282.313,276.95,0.50
"What biological roles can disordered proteins fulfill thanks to their structural properties?",152.194;161.3;165.662;170.531,162.42,0.75
"What is a nanny protein?",373.117;378.955;388.554,380.21,0.27
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",152.93;171.094;178.084,167.37,0.74
"Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?",120.166;185.802;190.732,165.57,0.74
"Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?",190.21;202.078;204.438,198.91,0.67
"Why do IDPs have unique regulatory mechanisms compared to folded proteins?",150.555;153.988;161.273,155.27,0.77
"What is the effect of targeting the DEP domain of Dishevelled with peptides?",201.069;246.723;254.779,234.19,0.59
"The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!",148.779;155.967;159.047,154.60,0.77
"What is ELM?",318.635;325.028;327.074;335.021,326.44,0.39
"What are the main attributes of short linear motifs?",279.339;297.109;303.112,293.19,0.46
"Is the motif LIG_PCNA present in archaea?",240.091;250.348;251.711;255.152;266.644,252.79,0.55
"What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?",135.503;162.454;181.857;201.517,170.33,0.73
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",155.208;174.588;184.374,171.39,0.73
"What are degradation motifs (degrons)?",262.282;290.01;293.174,281.82,0.48
"Why is it biologically important that motifs are commonly found in unstructred parts of proteins?",161.932;173.822;189.538,175.10,0.72
"What are PTMs?",296.953;391.398;391.547;403.862,370.94,0.29
"List the main factors that can initiate the transition of a protein between a folded and an unfolded state?",172.124;184.753;196.107,184.33,0.70
"Can interactions with a small molecule unfold a protein?",194.202;202.817;214.407,203.81,0.66
"How much surface area is buried during the dimerization of HdeA?",258.303;299.379;322.325,293.34,0.46
"What are the main differences between passive and active factors that can induce the unfolding of proteins?",145.767;154.442;205.919,168.71,0.74
"What induces the unfolding of the cytoplasmic tails of integrins?",218.583;224.506;227.016,223.37,0.61
"What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?",184.608;193.77;196.227;199.501;203.201,195.46,0.68
"What is an NLS?",462.787;462.935;463.692;469.013;475.067,466.70,0.07
"Give a summary of the main functions of short liear motifs in the human proteome!",196.851;197.018;204.488,199.45,0.67
"Do human phosphorylation sites predominantly reside in ordered regions of proteins?",164.772;178.3;195.998,179.69,0.71
"How many motifs are estimated to exist in the human proteome?",136.325;139.731;171.77,149.28,0.78
"How do different motifs play a role in the general function of various proteins?",160.369;166.61;171.144,166.04,0.74
"What are the motifs present in human CBP?",202.368;223.528;227.299;239.748,223.24,0.62
"What is the effect that the presence of a motif exerts on the fate of the full protein?",170.203;198.053;198.324;199.773;205.944,194.46,0.68
"What are RHIM sequences?",392.314;420.822;422.391,411.84,0.20
"What are the key ways in which post-translational modifications regulate disordered proteins?",157.333;159.265;171.03;184.227,167.96,0.74
"Does p120 catenin regulate cell adhesion?",230.476;244.17;245.694;248.648;272.715,248.34,0.56
"What signaling is affected by MSI-1436?",280.307;288.094;316.614,295.01,0.46
"What are the special biophysical and cellular features of how disordered proteins interact with their partners?",166.384;175.306;177.491,173.06,0.73
"How is the binding of the LAT protein regulated?",275.251;298.873;299.845,291.32,0.46
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",173.903;178.249;178.951;180.477,177.89,0.72
"What is CALVADOS?",424.06;441.03;455.87,440.32,0.13
"What are the main steps to computationally generating conformational ensembles of disordered proteins?",171.957;176.284;201.342,183.19,0.70
"Are compact IDRs generally longer than extended IDRs?",235.191;280.125;310.074,275.13,0.50
"How many disordered regions were identified in the human proteome?",167.329;180.076;182.495,176.63,0.72
"What are the effects of the compaction of disordered proteins on their biological functions?",206.678;220.157;224.298,217.04,0.63
"What is the compaction of human p53?",251.358;246.092;249.428;253.996;266.783,253.53,0.55
"How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?",161.533;166.445;182.767,170.25,0.73
"What is CoA?",336.503;337.289;348.929,340.91,0.35
"What is acetyl-CoA?",204.206;233.644;236.716;243.464,229.51,0.60
"What is succinyl-CoA?",198.845;208.43;209.264;212.413,207.24,0.65
"What reactions does SIRT5 catalyze?",201.621;215.718;217.199;218.908,213.36,0.64
"What is lysine acylation?",210.463;220.759;225.021,218.75,0.63
"What is lysine acetylation?",182.479;198.78;201.486,194.25,0.68
"Where, within cells, is succinyl-CoA found?",179.426;183.203;189.953,184.19,0.70
"What species is succinyl-CoA found in?",185.611;187.602;190.738,187.98,0.69
"What processes do lysine acylations regulate?",186.588;189.872;191.897,189.45,0.69
"Where, within proteins, does lysine acetylation happen?",160.708;165.317;168.609,164.88,0.74
"Are there lysine acylation reader domains in bacteria?",150.017;182.605;183.815,172.15,0.73
"What lysine acylation reader domains are known in mammals?",180.795;202.201;211.434,198.14,0.67
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",118.379;122.265;122.274;124.66;133.693,124.25,0.83
"What PTM does succinylation overlap with, and to what percentage?",242.932;250.71;251.1;252.039;256.08;261.746,252.43,0.55
"What evidence is there for demalonylation by SIRT5?",173.987;180.921;181.88,178.93,0.71
"Is there a known "writer" enzyme for lysine malonylation?",149.151;163.939;189.515,167.53,0.74
"What's a possible source of non-enzymatic lysine acetylation?",163.093;173.525;176.957,171.19,0.73
"What species does acetylphosphate-dependent lysine acetylation occur in?",187.271;188.197;191.265,188.91,0.69
"What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?",181.703;193.803;197.233,190.91,0.69
"What does alpha-ketoglutarate do in the context of lysine acylations?",197.964;207.703;208.689;209.76,206.03,0.65
