question,distances,mean_distance,relevance_score
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",153.429;165.035;174.722,164.40,0.75
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",130.799;155.432;155.672;156.912;158.931;164.357,153.68,0.77
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",155.446;159.511;163.027,159.33,0.76
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",138.52;141.851;146.046;152.479,144.72,0.79
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",148.423;157.577;162.123,156.04,0.76
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",82.891;138.871;143.035,121.60,0.84
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",110.568;113.451;117.039;134.919,118.99,0.85
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",126.841;151.412;151.727;153.586;157.612,148.24,0.78
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",93.746;113.57;124.941,110.75,0.86
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",153.395;161.421;173.78,162.87,0.75
"What are the key capabilities and features of the G-protein activity biosensors?",128.073;134.964;136.894,133.31,0.81
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",137.96;138.7;147.071,141.24,0.80
"How does the expression level of the biosensors impact normal G-protein signaling? ",134.615;146.993;156.938,146.18,0.79
"Does levels of biosensor expression interfere with downstream signaling pathways?",197.507;202.438;202.73;203.801;208.714;216.791,205.33,0.65
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",134.982;135.369;147.653,139.33,0.80
"What is the CRISPR-coupled GPCR ChaCha system? ",107.818;132.364;132.669;133.832;138.073,128.95,0.82
"What ligands can activate the CRISPR ChaCha systems?",120.134;133.79;139.221;149.267,135.60,0.81
"What advantages does the ChaCha system offer over the Tango architecture? ",269.404;273.999;288.321;314.686,286.60,0.47
"What are the limitations of the CRISPR ChaCha system? ",180.03;197.758;201.79,193.19,0.68
"Which other systems can CRISPR ChaCha be applied to?",170.824;178.472;181.341;184.276,178.73,0.71
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",137.469;138.959;139.309;140.64;143.393;151.757;162.951,144.93,0.79
"List all the FGFR mutations that were used in the experiments.",168.453;200.696;202.879,190.68,0.69
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",166.019;174.571;179.543;184.886,176.25,0.72
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",142.966;162.575;166.524;173.774,161.46,0.75
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",113.46;119.799;122.62;130.349,121.56,0.84
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",174.312;182.152;182.253;184.874;190.42,182.80,0.70
"What things can affect the interaction between FGFR2 and SHP2?",135.947;140.491;148.93,141.79,0.80
"How can be the FGFR2-SHP2 interaction affected?",130.594;132.705;142.518,135.27,0.81
"What is the difference between a canonical and non-canonical SH2 domain interaction?",235.032;248.484;259.228,247.58,0.56
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",113.295;119.46;127.652;148.079,127.12,0.83
"Does regulatory domain inhibit PAK4?",150.522;153.523;156.998;166.682,156.93,0.76
"What are the Kd values for peptide binding of PAK4? ",150.552;179.698;196.863,175.70,0.72
"List me the construct boundaries of PAK4 in the experiments.",226.603;233.227;237.13,232.32,0.59
"List me the PAK4 construct boundaries in the experiments.",231.156;231.84;247.226,236.74,0.59
"What is known about the inhibition and activation of PAK4?",124.776;126.655;142.978,131.47,0.82
"What is known about PAK4 structure?",202.723;204.75;225.383,210.95,0.64
"Is there any interaction between PAKs and FGFRs?",256.139;283.248;297.465,278.95,0.49
"What is the main substrate of MNK1 kinase?",265.824;272.994;274.517,271.11,0.51
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",214.385;218.62;222.317;227.886,220.80,0.62
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",153.25;238.064;238.847,210.05,0.64
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",97.753;99.703;108.968;126.1,108.13,0.87
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",150.671;181.238;185.311,172.41,0.73
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",183.916;189.002;195.304,189.41,0.69
"Tabulate the different ligand types in kinase  and their associated details.",179.295;189.926;193.326;197.193,189.94,0.69
"Provide the number of unique ligands in each combination of conformation and ligand type.",203.934;212.735;217.951,211.54,0.64
"What does MMS stand for?",338.053;358.699;360.389;376.971,358.53,0.31
"How does the benzylamine group impact target selectivity?",230.248;234.442;238.18,234.29,0.59
"What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?",89.632;108.608;147.105,115.12,0.86
"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",166.589;169.354;179.006,171.65,0.73
"How many sites of the  human Ser/Thr phosphoproteome were annotated?",103.983;119.5;138.947,120.81,0.84
"Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.",185.917;204.402;206.272;218.645,203.81,0.66
"How was machine learning used in the current study?",259.369;267.56;276.692,267.87,0.52
"Define the different kinase conformations?",156.311;165.647;165.965;176.418,166.09,0.74
"What are the steps in the Foldseek method?",196.124;224.145;259.528,226.60,0.61
"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",189.241;193.847;196.217;203.026;214.966,199.46,0.67
"What is the novelty of this paper - "NMR 2020 Science Babis- Conformational states dynamically populated by a kinase determine its function"?",134.59;162.968;163.283;176.257,159.27,0.76
"Describe the NMR method used to identify the p38 kinase conformation.",183.172;193.596;198.059;216.801,197.91,0.67
"What algorithmic bottleneck do GAT networks address? ",252.386;258.111;258.45;266.157,258.78,0.54
"Explain the difference between transductive and inductive tasks in the context of graph neural networks.",184.155;202.935;207.834;221.093,204.00,0.66
"How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.",150.646;161.673;164.975;172.616;184.148,166.81,0.74
"What is the EFFECT benchmark suite?",263.181;292.493;306.315,287.33,0.47
"How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?",168.604;187.361;192.724;206.617,188.83,0.69
"What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?",175.86;192.109;206.745,191.57,0.69
"Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?",202.562;211.318;211.557;212.759,209.55,0.65
"What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?",171.408;177.987;183.841,177.75,0.72
"Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.",155.14;159.772;163.443;175.188,163.39,0.75
"What are the main advantages of SSS compared to transformer based architectures?",277.868;284.656;287.196;294.956,286.17,0.48
"What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?",199.388;201.622;204.786,201.93,0.66
"Explain how celligner results allow to analyze cancer sub-type organisation. ",165.909;169.334;175.247,170.16,0.73
"Does Celligner perform equally well on all cancer types?",187.111;192.45;194.543;198.021;206.215,195.67,0.68
"What do you think are the weaknesses and limitations of Masif? Can you suggest ideas to address them?",262.529;288.683;301.118,284.11,0.48
"How does Masif compare to other state of the art methods for large scale docking? What are these methods and which metrics were used for the comparison?",172.398;176.068;178.833;196.89,181.05,0.71
"Summarize the workflow of MASIF, a deep-learning framework method to analyze protein surfaces and interactions.",97.376;117.884;122.01,112.42,0.86
"What challenges are faced when trying to deploy a prediction model trained on CCLE data to cancer derived patient samples?",165.384;182.488;188.308,178.73,0.71
"How many cars were approved by FDA thus far to treat cancer? And which companies sell them? What cancers does  these FDA approved cars treat? Are these fda approved cars mono-/bi-/tri-/tetra-specific? What antigens do these fda approved cars target?",143.107;156.919;160.757,153.59,0.77
"How much does it cost to treat cancer with CARs? Are there any cars designed in india?",187.165;193.29;204.023,194.83,0.68
"How does linkers impact protein folding? Are there any evidence to demonstrate that linkers enhanced protein/CAR stability, folding, aggregation and expression?",147.109;155.386;155.987;161.669,155.04,0.77
"What are the limitations of CAR therapy? What strategies researchers adopt to researchers adopt to develop CARs to overcome these limitations?",174.798;174.798;176.84;184.881,177.83,0.72
"Are there any CAR therapies approved for treating solid tumors? If yes, who designed it? If no, why is it hard to design a CAR for solid tumors?",128.609;166.8;183.608,159.67,0.76
"Are there any machine learning/deep learning/artificial intelligence methodologies carried on CAR proteins?",241.948;243.612;245.493,243.68,0.57
"Define a Chimeric antigen receptor (CAR)",94.585;130.586;132.084;138.65,123.98,0.84
"List all viral transduction methods that have been used to introduce genetic material into T-cells to generate CAR-T cells",138.896;138.896;145.297,141.03,0.80
"What are the most promising CAR-T designs that go beyond monospecific constructs?",217.925;217.925;218.156;218.156,218.04,0.63
"What are the biggest issues facing the development of better CAR-T therapies? Rank them in order of difficulty and provide examples with citations on all potential strategies to overcome these limitations. ",169.36;173.639;173.639;184.839,175.37,0.72
"What is known about the mechanism of mechanotransduction in transmitting a receptor binding event into a cellular signal? ",237.678;250.359;189.8;234.368;235.755,229.59,0.60
"How does the composition of the hinge region affect the efficiency of signal transduction in CARs.",151.757;151.757;156.011,153.17,0.77
"How does the composition of the hinge region affect the efficiency target cell killing in CARs.",160.479;160.479;162.945;176.341;176.341,167.32,0.74
"List all cancer types that have been targeted by CARs, and list which antigens are targeted in each case. ",139.251;144.93;148.362,144.18,0.79
"List all CARs that are approved by the FDA, and for which cancer their use is approved for.",186.386;201.514;213.283,200.39,0.67
"Which promoters have been used to drive CAR expression? Create an exhaustive list. ",263.606;275.858;280.798,273.42,0.50
"List the normal cell types that cause off-target effects with CARs and explain why off-target effects occur. ",186.791;198.018;202.51,195.77,0.68
"Why are loop-CARs a superior design over tandem CARs?",256.871;262.641;267.66,262.39,0.53
"How do you match CAR expression level to antigen density?",185.639;197.528;210.854,198.01,0.67
"List all costimulatory domains that have been used in CAR constructs and list the Pros and Cons of each.",230.202;233.651;237.764;251.423,238.26,0.58
"How will single-cell RNA sequencing and related technologies affect the design of new CARs?",213.73;214.059;214.059;214.162;215.143;215.143,214.38,0.63
"What are the differences between B-cells and T-cells in terms of cell surface receptors?",247.423;247.423;220.333;246.519,240.42,0.58
"What cancer type is the CAR-T targeting? ",152.4;160.554;168.599,160.52,0.75
"What is the size of the library used in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",149.842;162.899;164.438;172.604,162.45,0.75
"What assays have been discussed in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",119.303;126.366;126.398;133.497,126.39,0.83
"How many transgenes could be incorporated in T-cells?",218.466;219.021;222.529,220.01,0.62
"What signal peptide did they use for membrane targeting in the article - Leucine zipper-based sorting system enables generation of multi-1 functional CAR T cells?",128.297;141.515;150.577,140.13,0.80
"Which ScFvs have been used in this study - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",132.272;138.712;147.791,139.59,0.80
"What small molecule have been used to control the switch in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",120.135;121.171;127.025,122.78,0.84
"What was the optimal concentration of the small molecule in the article - Conditional Control of Universal CAR T Cells by Cleavable OFFSwitch Adaptors?",149.66;151.11;156.679;164.057;172.814,158.86,0.76
"What potential advantages does the small-molecule cleaving system offer in comparison to traditional antibody adaptors for controlling mSA2 CAR T cell activity?",106.238;139.135;144.409;152.117,135.47,0.81
"What are the proposed methods for administering adaptors and controlling OFF-switch activity in vivo, particularly in mouse models, and how might these methods differ depending on whether it's antibody adaptor pretreatment or simultaneous T cell and adaptor administration?",146.116;155.937;164.976,155.68,0.77
"In what ways could the cleavable OFF-switch adaptor technology be further applied or generalized beyond controlling mSA2 CAR T cell activity?",103.441;116.422;119.688;125.739,116.32,0.85
"What are some of the challenges in developing CAR T cells for treating solid tumors?",89.634;89.634;95.864,91.71,0.91
"How does the concept of Boolean-logic AND-gate CAR T cells aim to address these challenges? ",127.722;139.626;141.138;144.443,138.23,0.80
"How does the LINK CAR system differ from other engineered CAR systems, such as SynNotch and SPLIT CAR, in terms of specificity, efficacy, and potential clinical applicability? ",177.506;205.998;206.549;216.559,201.65,0.66
"What advantages do proximal signaling CARs, such as ZAP-70 CARs, demonstrate over traditional CD3_ CARs in terms of reduced tonic signaling, T cell exhaustion, expansion, and persistence? ",69.823;114.451;115.402;121.078,105.19,0.88
"What are the implications of the antigen-density thresholds for the functionality of the LINK CAR system?",143.996;168.717;214.166,175.63,0.72
"How does the ProCAR platform utilize tumor-colonizing probiotics to guide the cytotoxicity of engineered T cells?",98.098;102.129;102.434;103.383;112.928,103.79,0.88
"what are the key findings regarding its efficacy in mouse models of cancer? ",182.109;186.294;186.542;190.773,186.43,0.70
"What challenges do current CAR T cell therapies face regarding antigen dependence? ",126.87;140.982;140.982;142.822;147.343,139.80,0.80
"What advantages does the ProCAR system offer over other strategies for targeting solid tumors?",202.438;221.261;221.711;224.709,217.53,0.63
" how does ProCAR utilize bacteria to enhance tumor-specific target delivery?",153.38;155.348;160.74,156.49,0.76
"What is a KID domain?",316.789;346.964;348.878;351.09;361.416,345.03,0.34
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",135.005;139.65;146.796,140.48,0.80
"Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?",124.696;146.718;185.261,152.22,0.77
"How long is the peptide required to bind to eIF4E?",189.293;212.727;217.978,206.67,0.65
"What does the structure-function paradigm state and why does it need to be re-assessed?",230.399;257.049;257.256;271.21,253.98,0.55
"What is the function of the disordered regions of myoglobin?",181.954;190.968;208.191,193.70,0.68
"Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ",171.538;184.628;191.322,182.50,0.71
"What is a molten globue?",229.265;237.05;268.481,244.93,0.57
"List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.",145.78;160.843;173.005,159.88,0.76
"Is the NCBD domain of CBP folded or disordered?",146.072;155.554;160.853,154.16,0.77
"Where are the leukaemia-related breakpoints located in CBP/p300?",200.168;223.046;239.703,220.97,0.62
"What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?",142.046;145.854;146.394;149.968;154.038,147.66,0.78
"What is the role of the disordered protein HMGA1?",268.001;268.539;270.266;272.563,269.84,0.51
"What biological roles can disordered proteins fulfill thanks to their structural properties?",146.982;148.222;158.831,151.34,0.77
"What is a nanny protein?",352.831;371.333;373.84;377.653;383.551,371.84,0.28
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",130.701;131.055;132.675,131.48,0.82
"Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?",112.163;123.589;156.079,130.61,0.82
"Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?",182.254;184.244;186.683,184.39,0.70
"Why do IDPs have unique regulatory mechanisms compared to folded proteins?",133.644;149.673;157.202,146.84,0.78
"What is the effect of targeting the DEP domain of Dishevelled with peptides?",160.217;214.389;236.389,203.66,0.66
"The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!",141.955;159.575;159.774;164.595,156.47,0.76
"What is ELM?",306.05;307.046;307.523;309.025;318.403,309.61,0.42
"What are the main attributes of short linear motifs?",251.635;251.796;254.152;259.43,254.25,0.55
"Is the motif LIG_PCNA present in archaea?",218.558;236.467;254.301,236.44,0.59
"What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?",116.279;151.261;168.988,145.51,0.79
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",149.613;165.54;165.967;167.128,162.06,0.75
"What are degradation motifs (degrons)?",260.879;269.639;271.686;281.207,270.85,0.51
"Why is it biologically important that motifs are commonly found in unstructred parts of proteins?",173.557;177.71;179.608;182.268,178.29,0.71
"What are PTMs?",296.979;334.249;336.558;344.499;353.488,333.15,0.37
"List the main factors that can initiate the transition of a protein between a folded and an unfolded state?",161.99;177.674;193.426,177.70,0.72
"Can interactions with a small molecule unfold a protein?",182.358;192.736;201.387;210.079,196.64,0.67
"How much surface area is buried during the dimerization of HdeA?",201.042;269.831;289.171,253.35,0.55
"What are the main differences between passive and active factors that can induce the unfolding of proteins?",140.07;154.332;164.161;190.794,162.34,0.75
"What induces the unfolding of the cytoplasmic tails of integrins?",202.78;203.681;217.964,208.14,0.65
"What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?",182.013;183.075;184.523;189.095,184.68,0.70
"What is an NLS?",444.727;448.439;452.889;458.992,451.26,0.11
"Give a summary of the main functions of short liear motifs in the human proteome!",172.909;180.458;181.686;190.122,181.29,0.71
"Do human phosphorylation sites predominantly reside in ordered regions of proteins?",136.539;172.281;175.399;185.44,167.41,0.74
"How many motifs are estimated to exist in the human proteome?",115.074;117.809;128.662,120.51,0.84
"How do different motifs play a role in the general function of various proteins?",158.789;165.645;169.705,164.71,0.75
"What are the motifs present in human CBP?",201.089;203.897;210.29,205.09,0.66
"What is the effect that the presence of a motif exerts on the fate of the full protein?",195.901;201.784;202.21;202.836;206.557,201.86,0.66
"What are RHIM sequences?",347.47;381.723;388.213;399.812,379.30,0.27
"What are the key ways in which post-translational modifications regulate disordered proteins?",151.399;162.867;168.906,161.06,0.75
"Does p120 catenin regulate cell adhesion?",155.923;187.476;195.93;222.988,190.58,0.69
"What signaling is affected by MSI-1436?",245.813;274.658;305.705,275.39,0.50
"What are the special biophysical and cellular features of how disordered proteins interact with their partners?",144.156;165.775;173.416,161.12,0.75
"How is the binding of the LAT protein regulated?",284.497;287.162;289.438,287.03,0.47
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",127.406;166.244;172.258,155.30,0.77
"What is CALVADOS?",472.371;476.637;478.88,475.96,0.05
"What are the main steps to computationally generating conformational ensembles of disordered proteins?",131.734;157.186;181.129,156.68,0.76
"Are compact IDRs generally longer than extended IDRs?",229.572;241.137;243.037;256.488,242.56,0.57
"How many disordered regions were identified in the human proteome?",129.81;139.984;149.407,139.73,0.80
"What are the effects of the compaction of disordered proteins on their biological functions?",195.842;200.486;204.345,200.22,0.67
"What is the compaction of human p53?",221.264;239.02;239.031;256.953,239.07,0.58
"How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?",155.169;166.366;166.39;174.785,165.68,0.74
"What is CoA?",307.92;328.161;333.979,323.35,0.39
"What is acetyl-CoA?",185.361;205.55;213.584,201.50,0.66
"What is succinyl-CoA?",197.543;198.516;198.801;205.264,200.03,0.67
"What reactions does SIRT5 catalyze?",191.417;192.29;200.948,194.88,0.68
"What is lysine acylation?",194.578;211.242;213.912;216.815;224.445,212.20,0.64
"What is lysine acetylation?",171.323;175.513;176.375;178.836,175.51,0.72
"Where, within cells, is succinyl-CoA found?",157.657;176.768;180.787,171.74,0.73
"What species is succinyl-CoA found in?",173.566;181.054;185.925,180.18,0.71
"What processes do lysine acylations regulate?",165.712;169.181;171.808,168.90,0.74
"Where, within proteins, does lysine acetylation happen?",145.288;153.881;154.56,151.24,0.78
"Are there lysine acylation reader domains in bacteria?",148.42;173.434;179.328,167.06,0.74
"What lysine acylation reader domains are known in mammals?",182.174;188.85;192.011;206.115,192.29,0.68
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",104.847;108.013;109.355;119.906;132.367,114.90,0.86
"What PTM does succinylation overlap with, and to what percentage?",214.13;223.825;227.884;232.663,224.63,0.61
"What evidence is there for demalonylation by SIRT5?",137.868;166.3;175.133,159.77,0.76
"Is there a known "writer" enzyme for lysine malonylation?",149.41;152.825;158.154,153.46,0.77
"What's a possible source of non-enzymatic lysine acetylation?",135.534;162.944;169.947,156.14,0.76
"What species does acetylphosphate-dependent lysine acetylation occur in?",157.48;169.59;178.618,168.56,0.74
"What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?",161.916;175.162;185.133,174.07,0.72
"What does alpha-ketoglutarate do in the context of lysine acylations?",169.066;177.324;196.421,180.94,0.71
