mean_distance_question,mean_distance_answer,QRS,ACRS,correctness
1.43,0.649,0.23,0.64,0
0.59,0.751,0.76,0.58,0
0.86,0.801,0.59,0.56,0
0.98,0.803,0.51,0.56,1
1.24,1,0.35,0.44,0
1.03,1.075,0.48,0.4,1
0.83,0.7,0.61,0.61,0
1.18,0.704,0.39,0.61,0
0.87,0.726,0.58,0.59,0
1.24,0.931,0.35,0.48,1
0.67,0.698,0.71,0.61,0
0.8,0.931,0.63,0.48,1
0.61,0.63,0.74,0.65,0
1.26,0.99,0.34,0.45,1
0.77,0.58,0.64,0.68,0
0.8,0.854,0.63,0.53,0
0.54,0.313,0.79,0.83,0
1.02,0.952,0.49,0.47,1
0.74,0.7,0.66,0.61,0
1.06,0.907,0.46,0.49,1
0.83,0.932,0.61,0.48,1
0.87,0.945,0.58,0.47,1
0.66,0.613,0.71,0.66,1
1.03,0.707,0.48,0.61,0
0.71,0.591,0.68,0.67,0
1.3,0.646,0.31,0.64,0
0.73,0.613,0.67,0.66,0
0.79,0.458,0.63,0.74,0
1.23,1.058,0.36,0.41,0
0.79,0.686,0.63,0.62,0
1.05,0.919,0.47,0.49,1
0.71,0.594,0.68,0.67,0
1.46,1.296,0.21,0.28,0
0.88,0.729,0.58,0.59,0
0.83,0.874,0.61,0.52,0
0.56,0.393,0.78,0.78,0
0.62,0.448,0.74,0.75,0
1.27,0.921,0.33,0.49,1
0.79,0.573,0.63,0.68,0
1.27,0.909,0.33,0.49,1
0.74,0.727,0.66,0.59,1
0.86,0.625,0.59,0.65,0
1.11,0.646,0.43,0.64,0
0.69,0.541,0.69,0.7,1
0.88,0.811,0.58,0.55,1
0.58,0.662,0.76,0.63,1
1.59,0.929,0.13,0.48,0
0.68,0.376,0.7,0.79,1
1.09,1.091,0.44,0.39,1
0.64,0.501,0.73,0.72,1
0.71,0.555,0.68,0.69,0
1.02,1.022,0.49,0.43,1
0.68,0.706,0.7,0.61,0
1.15,0.58,0.41,0.68,0
0.81,0.59,0.62,0.67,0
0.84,0.596,0.6,0.67,0
0.79,0.616,0.63,0.66,1
0.69,0.454,0.69,0.75,0
0.67,0.509,0.71,0.72,0
0.64,0.37,0.73,0.79,0
0.95,0.751,0.53,0.58,1
0.63,0.499,0.73,0.72,1
0.51,0.456,0.81,0.74,1
0.65,0.625,0.72,0.65,1
0.77,0.942,0.64,0.48,1
0.49,0.382,0.82,0.79,0
1.31,0.827,0.31,0.54,1
0.82,0.369,0.61,0.79,0
0.77,0.826,0.64,0.54,1
0.63,0.563,0.73,0.69,0
0.69,0.64,0.69,0.64,0
0.78,0.504,0.64,0.72,0
0.9,0.713,0.56,0.61,1
