title,text,start,end
NCI Cancer Research Data Commons,framework that I've mentioned provides secure access and approach to metadata validation user workspaces shared data models and dictionaries to facilitate interoperability as well as a tool repository such as doc store to allow users to share new algorithms and pipelines the proteomics data node incorporates data from CP tap and other sources ,1326.12,1357.05
NCI Cancer Research Data Commons,similarly the imaging data node will work with the cancer imaging archive and then lastly just in terms of where are we now the genomics data Commons and the cloud resources are operational the framework will actually be launched next week at iesson B International Society for computational biology meeting in Chicago as is genomics and the proteomics data Commons are in that what ,1354.43,1391.31
NCI Cancer Research Data Commons,I would call a beta mode so we expect those to be functional in the coming year and the imaging data Commons is about to be initiated by issuance of an RFP request for proposals the other elements there are still in a planning state so let me say that about the couple of activities that are designed to enhance interoperability so one of those is what we refer to as a cancer ,1388.04,1428.63
NCI Cancer Research Data Commons,data aggregator so obviously just you know collecting storing all the genomics proteomics imaging data doesn't really get you where you want to be or you basically just created more silos so that aggregators intended to be a service to connect disparate data so that there can be more of an integrative activity so it will allow users to connect the data that are ,1424.46,1456.44
NCI Cancer Research Data Commons,distributed across those domain-specific nodes making use of a structured data model and appropriate metadata for each of those nodes so that the data can be searched retrieved analyzed by multiple means you know for example by patient their sample or study or disease simultaneously we were working on a what we refer to as an encrypted unique ,1454.33,1486.92
NCI Cancer Research Data Commons,patient identifier so there's obviously a need to be able to connect patient level data across multiple sources multiple data types multiple research studies and to do that over time so just some of the challenges associated with that obviously include protecting the patient confidentiality and the personally identifiable information and so our approach to that is to try to ,1482.9,1513.74
NCI Cancer Research Data Commons,work on what we refer to as an encrypted hash kokin which allows linkage of different types of data without release of that personally identifiable information so lastly let me just touch upon a system what we're trying to do what's also far partners so with we have a number of activities related to cancer centers one of those is to provide some ,1511.34,1546.78
NCI Cancer Research Data Commons,additional support for them to work on geni which I mentioned is an effort to try to develop targeted therapies for cancer patients to also work with the genomic Alliance for global health in terms of implementing standards across their data Commons we're also working with that array of moonshot programs that I mentioned upfront that includes providing some assistance for youth 24 ,1545.07,1574.71
NCI Cancer Research Data Commons,is just NIH Dragon for a cooperative agreement so for example that includes data coordinating centers for programs such as the human tumor Atlas and the Meo oncology activity so we're trying to get in on the ground level so these programs do not even exist at this point they are supposed to start this fall but we're trying to ensure that as they are launched they are coordinated with the ,1572.58,1603.3899999999999
NCI Cancer Research Data Commons,Cancer Research data Commons then we work I would say pretty intensively I'm trying to integrate with other NIH institutes with the overarching NIH data common pilot phase consortium with the NIH oliver's program the Chan Zuckerberg initiative and the Global Alliance for genomics and health we've also established an NCI office of data sharing which is intended to help with ,1599.85,1634.32
NCI Cancer Research Data Commons,intra and extramural NCI investigators I'll say a bit more about that and we are tearing out a number of workshops and issuing a number of requests for information to try to ensure that we collect appropriate feedback from the larger research community so last month for example we held a day and a half workshop on semantics infrastructure for the cancer research data Commons there ,1631.23,1662.6100000000001
NCI Cancer Research Data Commons,were 80 people at that workshop and I would say honestly that this is um just foundational to the establishment of any data Commons but often people overlook this simply because they think it's too hard too complex to try to deal with but without the appropriate semantic infrastructure and underpinning a lot of those services that I referred to including the framework and the ,1659.88,1693.1490000000001
NCI Cancer Research Data Commons,cancer data aggregator will just not operate efficiently and it will really not be possible to provide the effective operation of the cancer research data Commons so that users can integrate across different data types we issued an imaging RFI for example you will probably see one shortly for a cancer data aggregator and we've put into place a governance process for the cancer ,1690.0,1725.549
NCI Cancer Research Data Commons,research data Commons which includes a scientific and technical advisory board and obscuring committee so this is just a little bit of information about the office of data sharing which is pretty new within NCI this is what it's intended to do which I consider to be an ambitious list of goals to try to coordinate the interpretation and implementation of data sharing policies ,1723.029,1754.82
NCI Cancer Research Data Commons,for NCI to provide workflow management for data and metadata submissions to be an advocate for the balance of open access open source and data sharing to carry out outreach and education on NCI data sharing policies and processes this is an important ingredient I think to put into place the right set of metrics to assess the effectiveness of our data sharing policies and to coordinate with ,1750.899,1785.0700000000002
NCI Cancer Research Data Commons,other parts of NIH and the research community so that the office of data sharing has really just been put into place through the last month you know it has an end of two in terms of office staff at this point but is intended to grow over the coming year to about ten and it will be working this summer it's already started with the divisions offices and centers within ,1783.21,1816.75
NCI Cancer Research Data Commons,within NCI to develop a plan to centralize and coordinate data sharing activities or that implementation will start this fall and then engagement with the extramural community and the rest of NIH should start early next year so let me end by just providing you again just a small subset of acknowledgment so that the district rinsable investigators that are helping to establish the cancer ,1813.39,1851.1
NCI Cancer Research Data Commons,research data comments are listed there the top left you know they each have a large team of people the rest of that slide consists of people with n NCI again there are many more who makes major contributions to establishing a cancer research data common that's just my email right on and so you can get a hold of me by that means and I'm glad to try to ,1849.27,1882.8600000000001
